phrase_woodruff,phrases_scriptures,similarity_scores,verse_title
ground against them therefore marvel not at these things for ye are not yet pure,therefore marvel not at these things for ye are not yet pure ye can not,0.8630532401649338,Doctrine and Covenants 136:37
lord concerning the camp of israel in their journeyings to the west let all the,the word and will of the lord concerning the camp of israel in their journeyings to the west,0.8593884401318997,Doctrine and Covenants 136:1
"before the coming of the great and dreadful day of the lord"" ""and he shall",the prophet before the coming of the great and dreadful day of the lord and,0.8589030540147796,Doctrine and Covenants 128:17
hen gathereth her chickens under her wings but they would not god and angels dont,a hen gathereth her chickens under her wings but ye would not!,0.8586870818774494,Doctrine and Covenants 43:24
jr shall all be fulfilled and though heaven and earth pass away my words shall,and though the heaven and the earth pass away these words shall not pass away but shall be fulfilled,0.8581113092130461,Doctrine and Covenants 56:11
not forgive ^it^ for i cannot if the lord will forgive you i will forgive,i the lord will forgive whom i will forgive but of you it is required to forgive all men,0.8578818020675957,Doctrine and Covenants 64:10
to heaven to keep all the commandments and statutes of the lord our god and,all the commandments and statutes of the lord our god,0.8503274606217557,Doctrine and Covenants 136:2
god our eternal father we ask in the name of thy son jesus christ that,o god the eternal father we ask thee in the name of thy son jesus,0.8501187552093146,Doctrine and Covenants 20:79
god our eternal father we ask in the name of thy son jesus christ that,o god the eternal father we ask thee in the name of thy son jesus,0.8501187552093146,Doctrine and Covenants 20:77
time time and if any man shall seek to build up himself and seeketh not,and if any man shall seek to build up himself and seeketh not my counsel,0.8498611960748225,Doctrine and Covenants 136:19
priesthood are inseparably connected with the powers of heavens and that the powers of heaven,that the rights of the priesthood are inseparably connected with the powers of heaven and,0.8475466214836397,Doctrine and Covenants 121:36
water pure water whether in heat or in cold and bear testimony against that nation,feet even with water pure water whether in heat or in cold and bear testimony,0.8468235922283928,Doctrine and Covenants 84:92
at the coming of the son of man what are the signs of the times,the signs of the coming of the son of man,0.8431848582745035,Doctrine and Covenants 68:11
to this generation his garments are clean from the blood of the inhabitants of the,their garments are not clean from the blood of this generation,0.8409069196484877,Doctrine and Covenants 88:85
who are to remain behind this season and this is the will of the lord,remain behind this season and this is the will of the lord concerning his people,0.8405205696222764,Doctrine and Covenants 136:9
and the richer blessing upon the head of ephraim and his fellows these events refered,the richer blessing upon the head of ephraim and his fellows,0.8385082548040036,Doctrine and Covenants 133:34
edeyfing one another if thou borrowest of thy neighbor thou shalt restore that which thou,if thou borrowest of thy neighbor thou shalt restore that which thou hast borrowed and,0.8328742531257882,Doctrine and Covenants 136:25
fathers may be turned to the children and the hearts of the children to the,the hearts of the fathers to the children and the hearts of the children to,0.8314083685952005,Doctrine and Covenants 27:9
that they may be ready to go to a land of peace go thy way,the saints that they may be ready to go to a land of peace,0.8290095616539304,Doctrine and Covenants 136:16
and received the gift of the holy ghost by the laying on of hands according,sins the gift of the holy ghost by the laying on of hands,0.8274058335344354,Doctrine and Covenants 138:33
cease to speak evil one of another cease drunkenness and let your words tend to,cease drunkenness and let your words tend to edifying one another,0.8245517549009468,Doctrine and Covenants 136:24
even to be a prophet seer and revelator in the church and kingdom of god,church to be a translator a revelator a seer and prophet,0.8216455440197414,Doctrine and Covenants 124:125
the ax is laid unto the root of the tree and evry tree that bringeth,the ax is laid at the root of the trees and every tree that bringeth,0.8179109562347715,Doctrine and Covenants 97:7
will arise out of his hiding place and in his fury he will vex the,out of his hiding place and in his fury vex the nation,0.815320677297174,Doctrine and Covenants 101:89
turn the hearts of the children to their fathers and the fathers to the children,the hearts of the fathers to the children and the hearts of the children to,0.812301086458527,Doctrine and Covenants 27:9
lord come and he shall turn the hearts of the fathers to the children and,fathers and the hearts of the children shall turn to their fathers,0.8120146908985356,Doctrine and Covenants 2:2
out devils open the eyes of the blind unstop the ears of the deaf cause,in my name they shall open the eyes of the blind and unstop the ears of the deaf,0.8107053590642301,Doctrine and Covenants 84:69
the hearts of the children to the fathers lest i come and smite the earth,the children to their fathers lest i come and smite the earth with a curse,0.8092097419246007,Doctrine and Covenants 128:17
i will shake not only the earth but the starry heaven shall tremble you cannot,only shake the earth but the starry heavens shall tremble,0.808879292940812,Doctrine and Covenants 84:118
and do as i have told you and fear not thine enemies for they shall,go thy way and do as i have told you and fear not thine enemies,0.8086520808250113,Doctrine and Covenants 136:17
the powers of heaven and that the powers of heaven cannot be controlled nor handled,that the powers of heaven cannot be controlled nor handled only upon the principles of righteousness,0.8086186802372063,Doctrine and Covenants 121:36
of things jacob shall flourish in the wilderness the lamanites shall blossom as the rose,wilderness and the lamanites shall blossom as the rose,0.8063928114559664,Doctrine and Covenants 49:24
to seal the fathers to their children the children to their fathers and to assist,children to their fathers and the hearts of the fathers to the children,0.8062207141507602,Doctrine and Covenants 98:16
fathers may be turned to the children and the hearts of the children to the,children to their fathers and the hearts of the fathers to the children,0.8046677552661643,Doctrine and Covenants 98:16
of hundreds captains of fifties and captains of tens with a president and his two,let the companies be organized with captains of hundreds captains of fifties and captains of,0.802865658572618,Doctrine and Covenants 136:3
he may see and his ears opened that he may hear for my spirit is,his god that his eyes may be opened that he may see and his ears opened that he may hear,0.8028524890405306,Doctrine and Covenants 136:32
fathers may be turned to the children and the hearts of the children to the,to turn the hearts of the fathers to the children and the children to the,0.8007272688321108,Doctrine and Covenants 110:15
the children and the hearts of the children to their fathers lest i come and,children to their fathers and the hearts of the fathers to the children,0.8001501434648592,Doctrine and Covenants 98:16
cannot be controlled nor handled only upon the principles of righteousness such should repent and,that the powers of heaven cannot be controlled nor handled only upon the principles of righteousness,0.7990624217716458,Doctrine and Covenants 121:36
apostle said we have precept upon precept line upon line here a little and there,line precept upon precept here a little and there a little giving us consolation by,0.7981833107390768,Doctrine and Covenants 128:21
turn the hearts of the fathers to the children and the hearts of the children,children to their fathers and the hearts of the fathers to the children,0.7978147487750509,Doctrine and Covenants 98:16
not have power to stop my work zion shall be redeemed in mine own due,zion shall be redeemed in mine own due time,0.7973313833242825,Doctrine and Covenants 136:18
and blessed adam ot and called him the prince michael the archangel and the lord,and the lord appeared unto them and they rose up and blessed adam and called him michael the prince the archangel,0.7967639379002228,Doctrine and Covenants 107:54
at home and abroad the wars perplexities of nations and in the lecture given by,at home things which are abroad the wars and the perplexities of the nations and,0.7951712148407871,Doctrine and Covenants 88:79
of hundreds captains of fifties and captains of tens with a president and his two,and appoint presidents and captains of hundreds and of fifties and of tens,0.7909871887840132,Doctrine and Covenants 136:15
shalt make diligent search till thou shalt deliver it to him again thou shall be,till thou shalt deliver it to him again,0.7877723715722451,Doctrine and Covenants 136:26
of the holy priesthood even to be prophet seer and revelator in the church and,church to be a translator a revelator a seer and prophet,0.7871200479357728,Doctrine and Covenants 124:125
of the ungodly thy brethren have rejected you and your testimony even the nation that,thy brethren have rejected you and your testimony even the nation that has driven you out,0.7865072826646434,Doctrine and Covenants 136:34
that were sent unto them and they have shed innocent blood which crieth from the,shed innocent blood which crieth from the ground against them,0.7858940022341436,Doctrine and Covenants 136:36
building of my temples unto my holy name if they will hearken unto my voice,and if my people will hearken unto my voice and unto the voice of my,0.7812578503386195,Doctrine and Covenants 124:45
i will say in the name of jesus christ the son of the living god,way of baptism in the name of jesus christ the son of the living god,0.7795508977227167,Doctrine and Covenants 55:2
abraham adam to abraham from abraham to moses from moses to jesus and the apostles,from abraham to moses from moses to jesus and his apostles and from jesus and,0.7793164383040547,Doctrine and Covenants 136:37
turn the hearts of the fathers to the children and the hearts of the children,fathers and the hearts of the children shall turn to their fathers,0.7790222089081426,Doctrine and Covenants 2:2
company provide themselves with all the teams waggons provisions clothing and other necessaries for the,let each company provide themselves with all the teams wagons provisions clothing and other necessaries for the journey that they can,0.7787329234019795,Doctrine and Covenants 136:5
his life for my sake for he that layeth down his life for my sake,layeth down his life for my sake shall find it again,0.7783340138388058,Doctrine and Covenants 103:27
lord come and he shall turn the hearts of the fathers to the children and,to turn the hearts of the fathers to the children and the children to the,0.7771208159593025,Doctrine and Covenants 110:15
my laws and the gates of hell shall not prevail against you fear not for,my rock the gates of hell shall not prevail against you,0.7748077437675435,Doctrine and Covenants 18:5
the children and the hearts of the children to their fathers lest i come and,the hearts of the fathers to the children and the hearts of the children to,0.7706485808177613,Doctrine and Covenants 27:9
waste mine enemies and not many years hence they shall not be left to pollute,not many years hence they shall not be left to pollute mine heritage and to,0.7681882377631908,Doctrine and Covenants 105:15
into the world and men love darkness rather than light because their deeds are evil,for they love darkness rather than light and their deeds are evil and they receive,0.7664814614683276,Doctrine and Covenants 29:45
perry rockwood was appointed captains over a hundred and 4 captains of fifties and captains,let the companies be organized with captains of hundreds captains of fifties and captains of,0.7659945400692725,Doctrine and Covenants 136:3
then shall the curtain of heaven be unfolded as a scroll so you can see,immediately after shall the curtain of heaven be unfolded as a scroll is unfolded after,0.7632087121834522,Doctrine and Covenants 88:95
and what i the lord say unto you mine apostles i say unto my servants,now i say unto you and what i say unto you i say unto all,0.7622677949541663,Doctrine and Covenants 112:14
ot and methuselah ot all who were high priests with the residue of his posterity,enoch and methuselah who were all high priests with the residue of his posterity who,0.7617847206294196,Doctrine and Covenants 107:53
he was like nathaniel of old in whom there is no guile he has passed,of old in whom there is no guile,0.7608071220674053,Doctrine and Covenants 41:11
in this last dispensation and fulness of times^ and the other the president of the,the last days and for the last time in the which is the dispensation of the fulness of times,0.7604839369184359,Doctrine and Covenants 112:30
i the lord utter my word and it shall be obeyed and the day of,behold i the lord utter my voice and it shall be obeyed,0.7573437896067331,Doctrine and Covenants 63:5
the cup of the wrath of mine indignation is full and i will not stay,behold the day has come when the cup of the wrath of mine indignation is full,0.7567554025820097,Doctrine and Covenants 43:26
the cup of the wrath of mine indignation is full and i will not stay,behold the day has come when the cup of the wrath of mine indignation is full,0.7567554025820097,Doctrine and Covenants 43:26
ask thee our father in heaven in the name of thy son jesus christ that,o god the eternal father we ask thee in the name of thy son jesus,0.7561942646877671,Doctrine and Covenants 20:79
ask thee our father in heaven in the name of thy son jesus christ that,o god the eternal father we ask thee in the name of thy son jesus,0.7561942646877671,Doctrine and Covenants 20:77
world as a thief in the night saturday july 7 we met in the st,it overtaketh the world as a thief in the night,0.7555699062254544,Doctrine and Covenants 106:4
gathered and the tares bound in bundles then the field remaineth to be burned i,gathering of the wheat behold and lo the tares are bound in bundles and the field remaineth to be burned,0.7543789743657032,Doctrine and Covenants 86:7
and ordain priests teachers and deacons the spirit of the lord was with us and,and to ordain other elders priests teachers and deacons,0.7542575569048978,Doctrine and Covenants 20:39
thy head in the name of jesus christ the son of the living god and,way of baptism in the name of jesus christ the son of the living god,0.7521938699093055,Doctrine and Covenants 55:2
the name of jesus i seal thee up unto eternal life amen and amen the,power to seal them up unto eternal life amen,0.7518637090810044,Doctrine and Covenants 68:12
"over them forever"" ""and adam stood up in the midst of the congregation and notwithstanding",and adam stood up in the midst of the congregation and notwithstanding he was bowed,0.7515584598522785,Doctrine and Covenants 107:56
his arm shall be made bare in the eyes of all nations until zion shall,for he shall make bare his holy arm in the eyes of all the nations,0.7509434071831345,Doctrine and Covenants 133:3
has driven you out and now cometh the day of their calamity even the days,and now cometh the day of their calamity even the days of sorrow like a,0.7491573930409627,Doctrine and Covenants 136:35
president of the stake also joseph young and 4 of his counselors meeting opened by,his counselors and also the president of the stake and his counselors,0.7475985438538688,Doctrine and Covenants 124:142
[and said] that he should have a son whose name should be john and he,that he should have a son and his name should be john and he should be filled with the spirit of elias,0.7475602427082918,Doctrine and Covenants 27:7
not pass away until all should be fulfilled though heaven and earth should pass away,and though the heaven and the earth pass away these words shall not pass away but shall be fulfilled,0.7472974190205987,Doctrine and Covenants 56:11
the fields but the lord [said] unto them pluck not up the tares while the,but the lord saith unto them pluck not up the tares while the blade is,0.7471357584191569,Doctrine and Covenants 86:6
is not worthy of my kingdom let him that is ignorant learn wisdom by humbling,let him that is ignorant learn wisdom by humbling himself and calling upon the lord,0.7467073182952222,Doctrine and Covenants 136:32
snow organize a company and let my servants orson pratt and wilford woodr[uff] organize a,and let my servants orson pratt and wilford woodruff organize a company,0.7460195892434297,Doctrine and Covenants 136:13
who were righteous into the valley of adamondiahman daviess county missouri and there bestowed upon,were righteous into the valley of adamondiahman and there bestowed upon them his last blessing,0.7455297889184792,Doctrine and Covenants 107:53
as a hen gathereth her chickens under wings but ye would not and he then,who will gather his people even as a hen gathereth her chickens under her wings,0.7454061332383047,Doctrine and Covenants 29:2
ask thee our father in heaven in the name of thy son jesus christ that,and now we ask thee holy father in the name of jesus christ the son,0.7445540767472111,Doctrine and Covenants 109:4
the lord unto my servant john taylor 1808 and my servant wilford woodruff and my,let my servant john taylor and also my servant john e page and also my,0.7430175226691643,Doctrine and Covenants 118:6
thou shalt labour in the temple of the lord thy god thou shalt teach thy,thou shalt not take thy brother's garment thou shalt pay for that which thou shalt receive of thy brother,0.7415334070408367,Doctrine and Covenants 42:54
send elijah to seal the children to the fathers and fathers to the children now,children to their fathers and the hearts of the fathers to the children,0.7412477461036564,Doctrine and Covenants 98:16
the lord unto my servant john taylor 1808 and my servant wilford woodruff and my,let my servant george and my servant lyman and my servant john snider and others,0.7390355618785781,Doctrine and Covenants 124:22
and shall be poured out without measure upon the wicked but hearken and hear o,be poured out upon the wicked without measure,0.7385922284457505,Doctrine and Covenants 1:9
hen gathereth her chickens under her wings but they would not god and angels dont,who will gather his people even as a hen gathereth her chickens under her wings,0.7355359450065089,Doctrine and Covenants 29:2
whom i have raised up in these last days that i have ordained you to,lord have raised up in these last days,0.7337834535049047,Doctrine and Covenants 53:1
in the name of jesus christ the son of the living god tuesday june 22,way of baptism in the name of jesus christ the son of the living god,0.733738985171149,Doctrine and Covenants 55:2
sent forth into the wor[ld] to enlighten the humble and contrite and to the condemnation,for my spirit is sent forth into the world to enlighten the humble and contrite and to the condemnation of the ungodly,0.7335222652515966,Doctrine and Covenants 136:33
that he should seal his testimony with his blood that he might be honored and,his testimony with his blood that he might be honored and the wicked might be condemned,0.7334786195909667,Doctrine and Covenants 136:39
day of the lord come that he shall turn the hearts of the fathers to,fathers and the hearts of the children shall turn to their fathers,0.7331751321136823,Doctrine and Covenants 2:2
head in the name of jesus christ the son of the living god and seal,way of baptism in the name of jesus christ the son of the living god,0.7322684611206013,Doctrine and Covenants 55:2
garments are clean of the blood of this generation and especially of this nation therefore,their garments are not clean from the blood of this generation,0.7318140151696867,Doctrine and Covenants 88:85
thou shalt have great blessing thou art of the blood of ephraim if thou will,joseph my son if thou livest until thou art eightyfive years old thou shalt see,0.7293683833578899,Doctrine and Covenants 130:15
lest i come and smite the whole earth with a curse the answer is right,the children to their fathers lest i come and smite the earth with a curse,0.729108467740529,Doctrine and Covenants 128:17
they without us could not be made perfect neither can you without me nor i,them cannot be made perfect neither can they without us be made perfect neither can,0.728812728532315,Doctrine and Covenants 128:18
vane for i am the lord your god even the god of your fathers the,am the lord your god even the god of your fathers the god of abraham and of isaac and of jacob,0.7277849623603998,Doctrine and Covenants 136:21
and ordain priests teachers and deacons the spirit of the lord was with us and,and he may also ordain other priests teachers and deacons,0.7277190824920456,Doctrine and Covenants 20:48
him to lift up his voice long and loud preparing the way for the second,and let him lift up his voice long and loud in the midst of the,0.7276511908536215,Doctrine and Covenants 124:75
to the 1st of st john the light shineth in darkness and and again the,the light and the life of the world a light which shineth in darkness and the darkness comprehendeth it not,0.7273379480813632,Doctrine and Covenants 34:2
to the 1st of st john the light shineth in darkness and and again the,the light and the life of the world a light which shineth in darkness and the darkness comprehendeth it not,0.7273379480813632,Doctrine and Covenants 39:2
him to warn the people that they may be left without excuse this was the,falleth that they may be left also without excuse,0.7268946514847042,Doctrine and Covenants 124:7
the lord unto my servant john taylor 1808 and my servant wilford woodruff and my,unto my servant luke johnson and unto my servant lyman johnson and unto my servant,0.7264450725288911,Doctrine and Covenants 68:7
we are cautioned to beware of pride lest we become like the nephites of old,are mine to give but beware of pride lest ye become as the nephites of old,0.726409488365795,Doctrine and Covenants 38:39
ordained 7 elders and 9 priests 11 teachers and 5 deacons this with some other,and to ordain other elders priests teachers and deacons,0.7261257193105289,Doctrine and Covenants 20:39
to the 1st of st john the light shineth in darkness and and again the,the end the light and the life of the worlda light that shineth in darkness and the darkness comprehendeth it not,0.7258360849144763,Doctrine and Covenants 45:7
the children and the hearts of the children to their fathers lest i come and,to turn the hearts of the fathers to the children and the children to the,0.7256235267837471,Doctrine and Covenants 110:15
twelve and build up the kingdom of god and regulate all the affairs of the,heaven to build up the church and regulate all the affairs of the same in,0.7251271430797029,Doctrine and Covenants 107:33
my feet for i the lord utter my word and it shall be obeyed and,behold i the lord utter my voice and it shall be obeyed,0.7247015709345536,Doctrine and Covenants 63:5
president and council captains of hundreds fifties and tens to further the organization of the,and appoint presidents and captains of hundreds and of fifties and of tens,0.724631174478289,Doctrine and Covenants 136:15
is power in the charters of nauvoo shall be saved he that believeth not shall,and he that believeth and is baptized shall be saved and he that believeth not shall be damned,0.724631086370892,Doctrine and Covenants 68:9
children and the hearts of the children unto the fathers even those who are in,the hearts of the fathers to the children and the hearts of the children to,0.7241905746907319,Doctrine and Covenants 27:9
am in the father and the father in me now i do not suppose that,and that i am in the father and the father in me and the father and i are one,0.7234134150134032,Doctrine and Covenants 93:3
of joseph used to push the people together from the ends of the earth these,for behold they shall push the people together from the ends of the earth,0.7218933059087215,Doctrine and Covenants 58:45
shalt make diligent search till thou shalt deliver it to him again thou shall be,if thou shalt find that which thy neighbor has lost thou shalt make diligent search,0.721707569180936,Doctrine and Covenants 136:26
his life for my sake for he that layeth down his life for my shake,layeth down his life for my sake shall find it again,0.7191441309492923,Doctrine and Covenants 103:27
off from the church and given over to the buffetings of satan until the day,to the buffetings of satan until the day of redemption,0.7184003290116258,Doctrine and Covenants 82:21
on the north west and 7 on the south east one on the south the,the east and to the west to the north and to the south,0.7164404809025964,Doctrine and Covenants 42:63
god and christ and celestial saints dwell they cannot come worlds without end but those,and they shall be servants of the most high but where god and christ dwell they cannot come worlds without end,0.7162724945809656,Doctrine and Covenants 76:112
the children of men zion shall flourish upon the hills and rejoice excedingly upon the,zion shall flourish upon the hills and rejoice upon the mountains and shall be assembled,0.7160801336758089,Doctrine and Covenants 49:25
northern states and the northern states against the southern states and that war would be,for behold the southern states shall be divided against the northern states and the southern,0.7152919216245175,Doctrine and Covenants 87:3
thou shalt be a comfort unto them thou shalt be baptized the day thou art,and it shall be given thee from the time thou shalt go until the time thou shalt return what thou shalt do,0.7148869743654996,Doctrine and Covenants 28:15
to the 1st of st john the light shineth in darkness and and again the,i am the light which shineth in darkness and the darkness comprehendeth it not,0.7141220474017709,Doctrine and Covenants 10:58
church of jesus christ of latterday saints the zion of god and the kingdom of,let all the people of the church of jesus christ of latterday saints and those,0.7139575120692441,Doctrine and Covenants 136:2
push the people together to the ends of the earth no power shall stay thee,for behold they shall push the people together from the ends of the earth,0.7127928920685589,Doctrine and Covenants 58:45
will arise out of my hiding place and in my fury i will vex the,out of his hiding place and in his fury vex the nation,0.7117082427227228,Doctrine and Covenants 101:89
thou shalt have a residence in zion and do a great work there thou shalt,and it shall be given thee from the time thou shalt go until the time thou shalt return what thou shalt do,0.7110302080312183,Doctrine and Covenants 28:15
in this great and last dispensation of the fulness of times the church of christ,the last days and for the last time in the which is the dispensation of the fulness of times,0.7103238279913697,Doctrine and Covenants 112:30
to be baptized for the remission of my sins for i had not been since,israel the second time and had not been baptized for the remission of sins,0.7100853472167623,Doctrine and Covenants 137:6
warn the nations that they may be left without excuse in the day of their,falleth that they may be left also without excuse,0.7099847375613403,Doctrine and Covenants 124:7
i will build my church and th[e] gates of hell shall not prevail against it,my rock the gates of hell shall not prevail against you,0.7095925442445711,Doctrine and Covenants 18:5
repent and be baptized for the remission of sins of your sins and recieve the,yea repent and be baptized every one of you for a remission of your sins,0.7093153553950082,Doctrine and Covenants 33:11
lord's coming out of his hiding place to vex the nation and many other things,out of his hiding place and in his fury vex the nation,0.7090917656023389,Doctrine and Covenants 101:89
cease to speak evil one of another cease drunkenness and let your words tend to,cease to contend one with another cease to speak evil one of another,0.7068619985854012,Doctrine and Covenants 136:23
the coming of the son of man and i had the spirit and power of,the signs of the coming of the son of man,0.7066934311650968,Doctrine and Covenants 68:11
children and the hearts of the children unto the fathers even those who are in,children to their fathers and the hearts of the fathers to the children,0.7066176889062686,Doctrine and Covenants 98:16
of the widow and the fatherless come not up into the ears of the lord,into the army that the cries of the widow and the fatherless come not up,0.7060683859603739,Doctrine and Covenants 136:8
enemies let not your hearts be troubled i am in your midst i am your,lift up your hearts and be glad for i am in your midst and am,0.7056556690404546,Doctrine and Covenants 29:5
teachers and deacons who are appointed to be standing ministers unto the church cloth them,priests but the deacons and teachers should be appointed to watch over the church to be standing ministers unto the church,0.7056161364859803,Doctrine and Covenants 84:111
do they learn and comprehend that the rights of the priesthood are inseparably connected with,that the rights of the priesthood are inseparably connected with the powers of heaven and,0.7055658949087277,Doctrine and Covenants 121:36
all be fulfilled and though heaven and earth pass away my words shall not pass,though the heavens and the earth pass away my word shall not pass away but,0.7048965410454866,Doctrine and Covenants 1:38
the everlasting hills shall tremble at your presence and you shall fall down and be,and the boundaries of the everlasting hills shall tremble at their presence,0.7048481184327056,Doctrine and Covenants 133:31
our dead for the fulness of the dispensation of times a dispensation to meet the,dispensation of the fulness of times for the redemption of the dead and the sealing,0.7047528804493712,Doctrine and Covenants 138:48
thou shalt labour in the temple of the lord thy god thou shalt teach thy,thou shalt thank the lord thy god in all things,0.7045047693599892,Doctrine and Covenants 59:7
unto thee thou shalt have part in the first resurrection and thou shalt come forth,and it shall be given thee from the time thou shalt go until the time thou shalt return what thou shalt do,0.7015081303777496,Doctrine and Covenants 28:15
of my church and ye elders listen together you have received my kingdom be diligent,now therefore hearken o ye people of my church and ye elders listen together you have received my kingdom,0.7004539240628841,Doctrine and Covenants 136:41
open the eyes of the blind and unstop the ears of the deef according to,in my name they shall open the eyes of the blind and unstop the ears of the deaf,0.7003844913581241,Doctrine and Covenants 84:69
thou shalt be a comfort unto them thou shalt be baptized the day thou art,joseph my son if thou livest until thou art eightyfive years old thou shalt see,0.7003022104945407,Doctrine and Covenants 130:15
unto us president brigham young the prophet seer and revelator and leader of the church,church to be a translator a revelator a seer and prophet,0.700233318425902,Doctrine and Covenants 124:125
his life for my sake for he that layeth down his life for my sake,and whoso layeth down his life in my cause for my name's sake shall find it again even life eternal,0.6998707369294055,Doctrine and Covenants 98:13
in keeping all my commandments lest judgment come upon you and your faith fail you,be diligent in keeping all my commandments lest judgments come upon you and your faith,0.6995016916822503,Doctrine and Covenants 136:42
i am with you until i come i come quickly even so amen copied by,behold i come quickly even so amen,0.6994382366665681,Doctrine and Covenants 39:24
the coming of the son of man and i had the spirit and power of,even in the day of the coming of the son of man,0.6972921446071685,Doctrine and Covenants 63:53
a people to let our prayers ascend into the ears of the lord of sabaoth,of your prayers have come up into the ears of the lord of sabaoth and,0.696980157598886,Doctrine and Covenants 88:2
o lord i ask thee in the name of jesus christ thy son to look,o god the eternal father we ask thee in the name of thy son jesus,0.6969691182465968,Doctrine and Covenants 20:77
