phrase_woodruff,phrases_scriptures,similarity_scores
thou knowest for thou knowest all our ways thou hast given unto us of thy,"unto him, speakest thou not unto me? knowest thou not that i have power to",0.6744172973429787
the fig tree that when we see the signs in the sun moon moon stars,"shall be signs in the sun, and in the moon, and in the stars; and",0.6718976957683936
may be destroyed in the flesh that their spirits may be saved in the day,"of the flesh, that the spirit may be saved in the day of the lord",0.6709348498020338
to bear witness of that light he told the people that his mission was to,"but was sent to bear witness of that light. that was the true light, which",0.6701721921210111
m he spoke upon the marriage in cana at galilee he thought jesus was the,son of man. and the third day there was a marriage in cana of galilee;,0.6691154412240153
of sin and cause all nations to bow the knee and every tongue to confess,"lord, every knee shall bow to me, and every tongue shall confess to god. so",0.6687808148808166
if ye are the sons of god ye shall have all things he that over,"sent him. if ye know these things, happy are ye if ye do them. i",0.6667090516294852
prophet and he that believeth it may be saved and he that believeth it not,"he that believeth on me, believeth not on me, but on him that sent me.",0.6624052471371233
sun moon and stars and the earth and all that in them are out of,"shall be signs in the sun, and in the moon, and in the stars; and",0.6607124392393534
of sins with the promise of the gift of the holy ghost and in no,"shall receive the gift of the holy ghost. for the promise is unto you, and",0.660566790859871
be blotted out when the times of refreshing shall come from the presence of the,"and be converted, that your sins may be blotted out, when the times of refreshing",0.656490402005938
and smoke the sun turning to darkness the moon into blood and the stars falling,"smoke: the sun shall be turned into darkness, and the moon into blood, before that",0.6562994950214823
thee to thee they have appealed for the righteousness of there cause to thee do,"with thee, and no man shall set on thee to hurt thee: for i have",0.6543351403958739
for i am the lord your god even the god of your fathers the god,"i am the god of thy fathers, the god of abraham, and the god of",0.651923013236567
ye were of the rld the rld uld love its own but because i have,"the world, the world would love his own: but because ye are not of the",0.6445983429726923
and though the heavens and pass away my rds will not pass away but but,be fulfilled. heaven and earth shall pass away: but my words shall not pass away.,0.6445741282429536
hands upon her head and left a blessing with her i walked with her on,"talkest thou with her? the woman then left her waterpot, and went her way into",0.6414102914028691
son of man again hear ye the rd of the lord o ye mine apostles,ye did not hear: wherefore would ye hear it again? will ye also be his,0.6400412305433697
keep his commandments so with my family if they love me they will keep my,"will do it. if ye love me, keep my commandments. and i will pray the",0.6379343244766138
warren when thou art converted strengthen thy brethren o my god deliver me from such,"faith fail not: and when thou art converted, strengthen thy brethren. and he said unto",0.6362871213396024
things wright i do not believe they are i do not believe a man is,"father, believe me not. but if i do, though ye believe not me, believe the",0.6350615114488983
them that they should sit upon twelve thrones judging the twelve tribes of israel so,"drink at my table in my kingdom, and sit on thrones judging the twelve tribes",0.6342519010153427
and be burned up that they may be saved in the day of the lord,"of the flesh, that the spirit may be saved in the day of the lord",0.6328714879265993
they should sit upon twelve thrones judging the twelve tribes of israel so i say,"drink at my table in my kingdom, and sit on thrones judging the twelve tribes",0.631506822582456
keep his commandments so with my family if they love me they will keep my,"if a man love me, he will keep my words: and my father will love",0.630439373536454
of man again hear ye the rd of the lord o ye mine apostles whom,ye did not hear: wherefore would ye hear it again? will ye also be his,0.6303144810784901
pour out my spirit upon all flesh this is the definition of the spirit all,"god, i will pour out of my spirit upon all flesh: and your sons and",0.6277303760920158
all ye house of israel and all ye nations of the earth we will now,"the book of the prophets, o ye house of israel, have ye offered to me",0.6251057781409973
be saved in the day of the lord jesus they were sealed by the spirit,"of the flesh, that the spirit may be saved in the day of the lord",0.6250422902017905
are ye ingaged in the great rk with us ye will say yes can ye,"sent him. if ye know these things, happy are ye if ye do them. i",0.6232397122408756
if he says he will not go tell him that he will go use up,"among themselves, whither will he go, that we shall not find him? will he go",0.6231979717877361
their old age and bless them and thou shalt be a comfort unto them thou,"thou girdedst thyself, and walkedst whither thou wouldest: but when thou shalt be old, thou",0.6226647851051281
if ye are the sons of god ye shall have all things he that over,"the spirit of god, they are the sons of god. for ye have not received",0.6222344932076223
thou knowest for thou knowest all our ways thou hast given unto us of thy,"do thou knowest not now; but thou shalt know hereafter. peter saith unto him, thou",0.619761914307676
ye are laying the foundation of a great rk and ye know it not we,ye worship ye know not what: we know what we worship: for salvation is of,0.6191342915443035
ye are laying the foundation of a great rk and ye know it not we,"sent him. if ye know these things, happy are ye if ye do them. i",0.6173684598323765
dwell in the presence of god so i wish you all to get the spirit,"but in the spirit, if so be that the spirit of god dwell in you.",0.6167899436165253
a transgression of the law where is it in the books that is given us,"for where no law is, there is no transgression. therefore it is of faith, that",0.615832171137623
rather than light because their deeds are evil elder george quayle cannon followed in some,"darkness rather than light, because their deeds were evil. for every one that doeth evil",0.6157460374028643
one another if thou borrowest of thy neighbor thou shalt restore that which thou hast,"thou girdedst thyself, and walkedst whither thou wouldest: but when thou shalt be old, thou",0.6111676396998361
remarked that the spirit of the lord and the spirit of the devil uld not,"not the spirit of the world, but the spirit which is of god; that we",0.6107963435592695
ye are laying the foundation of a great rk and ye know it not we,"i am, there ye may be also. and whither i go ye know, and the",0.6104993909225117
eye hath seen no ear hath neither hath it entered into the heart of man,"man hath seen the father, save he which is of god, he hath seen the",0.6052955016600772
congregation the spirit of god rested upon me there is much of the spirit of,"not the spirit of the world, but the spirit which is of god; that we",0.6052159841736472
say unto thee thou shalt have part in the first resurrection and thou shalt come,"fulfilled the law. for this, thou shalt not commit adultery, thou shalt not kill, thou",0.6032701478970834
thou hast spoken well i have all thou hast said in my heart i have,"why hast thou conceived this thing in thine heart? thou hast not lied unto men,",0.6013303065572728
heirs those who are born after the parents are sealed are legal heirs man also,"are the children of god: and if children, then heirs; heirs of god, and joint-heirs",0.6003689513642062
